# Rg    beta propensity
1.63679  12.14285714
1.51739  7.142857143
1.49374  2.857142857
1.51494  7.142857143
1.49878  4.285714286
1.62121  22.14285714
1.48928  2.857142857
1.45774  8.571428571
1.61206  17.85714286
 1.5127  5.714285714
1.51451  7.142857143
1.48503  5.714285714
1.49476  5.714285714
1.49581  5.714285714
1.50183  20
1.41985  17.85714286
1.50102  20
1.48714  21.42857143
1.48931  20
1.41619  17.85714286
1.53229  7.142857143
1.51466  14.28571429
1.50144  13.57142857
1.51249  12.14285714
1.49561  21.42857143
 1.6318  20
1.51695  7.142857143
1.47118  5.714285714
1.58261  5.714285714
1.58465  5.714285714
